subject,block,rep,vowel,exemplar1,exemplar2,talker1,talker2,same,key
1,5,20,IH,3,2,Y,Y,1,m
1,5,21,OO,1,3,A,A,1,m
1,5,22,AH,2,1,X,X,1,m
1,5,23,EH,1,1,A,B,0,c
1,5,24,IH,2,2,X,Y,0,c
1,5,25,AH,3,3,B,A,0,c
1,5,26,OO,2,2,X,Y,0,c
1,5,27,EH,1,1,X,X,1,m
1,5,28,IH,3,3,B,B,1,m
1,5,29,AH,3,3,Y,Y,1,m
1,5,30,IH,2,1,A,A,1,m
1,5,31,OO,1,2,Y,X,0,c
1,5,32,EH,3,2,A,B,0,c
1,5,33,IH,1,3,B,B,1,m
1,5,34,OO,2,1,Y,Y,1,m
1,5,35,EH,1,1,X,Y,0,c
1,5,36,AH,2,2,Y,X,0,c
1,5,37,AH,3,3,B,A,0,c
1,5,38,IH,1,3,A,B,0,c
1,5,39,EH,3,1,X,X,1,m
1,5,40,OO,2,2,A,A,1,m
